title,description,location,cityname,time
Human Trafficking Suspected,A suspicious package was left unattended at a bus station.,"36.80169201797962,10.132170819868207",Tunis,2025-01-21 04:05:31
Drug Dealing,Gunshots were heard in a residential neighborhood.,"33.91390179698418,35.49230330466318",Beirut,2025-01-30 08:28:31
Kidnapping Attempt,An illegal gathering was dispersed by authorities.,"31.998806663255284,35.96173702710333",Amman,2025-01-23 01:04:31
Drug Dealing,Graffiti and property damage reported near the city square.,"30.021425367238155,31.282628896960066",Cairo,2025-01-30 00:41:31
Pickpocketing Incident,Multiple people reported a phone scam in the area.,"24.72320391184145,46.70710729616923",Riyadh,2025-01-20 01:54:31
Cyber Crime,Drug dealing reported in an alleyway downtown.,"2.0782297713142612,45.27231149740898",Mogadishu,2025-01-24 18:37:31
Suspicious Package,A car was stolen from a parking lot near the mall.,"36.73616345522452,3.1352890109603195",Algiers,2025-01-09 01:31:31
Fraudulent Activity,Gunshots were heard in a residential neighborhood.,"31.912939424842154,35.913888650298304",Amman,2025-01-31 11:39:31
Firearm Discharge,Gunshots were heard in a residential neighborhood.,"23.59023256133301,58.42085033083261",Muscat,2025-01-29 23:14:31
Assault Reported,A pickpocket was seen stealing a wallet in a crowded market.,"33.89559680990195,35.4946063600417",Beirut,2025-01-27 05:52:31
Firearm Discharge,A website was found collecting user data illegally.,"15.472765497251613,32.53958592785138",Khartoum,2025-01-13 19:51:31
Cyber Crime,A kidnapping attempt was thwarted near a school.,"36.83932423197219,10.143544480479012",Tunis,2025-01-23 12:48:31
Assault Reported,An armed robbery took place at a jewelry store.,"30.052927220809163,31.216978047405945",Cairo,2025-01-08 21:46:31
Illegal Gathering,An armed robbery took place at a jewelry store.,"33.915229918856774,35.466425346123316",Beirut,2025-01-14 06:19:31
Illegal Gathering,Graffiti and property damage reported near the city square.,"26.206820236661585,50.61051820226264",Manama,2025-01-13 11:58:31
Cyber Crime,A car was stolen from a parking lot near the mall.,"32.91460386186028,13.21378608758359",Tripoli,2025-01-02 13:40:31
Armed Robbery,A suspicious package was left unattended at a bus station.,"29.395635649498153,47.99052328686234",Kuwait City,2025-01-09 18:31:31
Scam Alert,A car was stolen from a parking lot near the mall.,"29.33876694350938,48.01277613504212",Kuwait City,2025-01-21 18:27:31
Vandalism,A kidnapping attempt was thwarted near a school.,"33.36206236662877,44.323585644233646",Baghdad,2025-01-05 04:14:31
Cyber Crime,A person was assaulted near a public park.,"25.32051012285615,55.285387184087696",Dubai,2025-01-27 08:29:31
Car Theft,A person was assaulted near a public park.,"31.95163866160318,35.91768210641568",Amman,2025-01-17 09:03:31
Car Theft,Multiple people reported a phone scam in the area.,"33.28018891977787,44.38032626463243",Baghdad,2025-01-17 20:27:31
Fraudulent Activity,An illegal gathering was dispersed by authorities.,"36.780529204350366,10.209957942113407",Tunis,2025-01-11 16:34:31
Illegal Gathering,A person was caught using a fake ID to withdraw money.,"33.330284757876214,44.369165367531636",Baghdad,2025-01-11 16:08:31
Pickpocketing Incident,Gunshots were heard in a residential neighborhood.,"29.34168838108797,47.92872356434166",Kuwait City,2025-01-20 04:25:31
Burglary in Progress,Authorities suspect human trafficking in the area.,"36.69549774109296,3.041538746066813",Algiers,2025-01-05 17:08:31
Drug Dealing,A website was found collecting user data illegally.,"30.042417508969997,31.214183976144724",Cairo,2025-01-16 02:22:31
Drug Dealing,A kidnapping attempt was thwarted near a school.,"25.281360134252633,55.25319594730089",Dubai,2025-01-28 15:34:31
Human Trafficking Suspected,Multiple people reported a phone scam in the area.,"36.758319971483985,3.041399875264938",Algiers,2025-01-05 14:20:31
Pickpocketing Incident,Graffiti and property damage reported near the city square.,"33.933821301937286,35.54803441252686",Beirut,2025-01-15 05:50:31
Fraudulent Activity,A person was assaulted near a public park.,"25.263650156611003,51.472830764509",Doha,2025-01-06 05:41:31
Pickpocketing Incident,Graffiti and property damage reported near the city square.,"32.91903277194545,13.22752639132357",Tripoli,2025-01-28 19:59:31
Firearm Discharge,A group of individuals acting suspiciously near a bank.,"24.747641580241865,46.66681453045155",Riyadh,2025-01-16 03:59:31
Cyber Crime,A person was assaulted near a public park.,"26.211368381387953,50.59713482321664",Manama,2025-01-02 09:55:31
Burglary in Progress,An illegal gathering was dispersed by authorities.,"32.89946198864965,13.145316907798847",Tripoli,2025-01-09 14:16:31
Suspicious Package,Authorities suspect human trafficking in the area.,"25.283063430017695,55.28465415096716",Dubai,2025-01-26 02:59:31
Suspicious Package,Graffiti and property damage reported near the city square.,"33.87042941410186,35.471232326722664",Beirut,2025-01-08 04:46:31
Vandalism,A person was assaulted near a public park.,"25.23802026473965,51.53604990160517",Doha,2025-01-14 07:42:31
Pickpocketing Incident,A person was caught using a fake ID to withdraw money.,"36.79684115841599,10.220831052831437",Tunis,2025-01-21 03:17:31
Illegal Gathering,A burglary is in progress at a residential apartment.,"31.932279952160233,35.95253440896277",Amman,2025-01-07 09:13:31
Drug Dealing,A person was caught using a fake ID to withdraw money.,"30.06577752965563,31.278713794774898",Cairo,2025-01-18 16:24:31
Car Theft,Graffiti and property damage reported near the city square.,"23.59367219531001,58.437735293672695",Muscat,2025-01-06 13:35:31
Assault Reported,A pickpocket was seen stealing a wallet in a crowded market.,"26.261562615729968,50.62169387875835",Manama,2025-01-24 11:38:31
Suspicious Package,Graffiti and property damage reported near the city square.,"15.539754757198248,32.52220251454078",Khartoum,2025-01-13 21:39:31
Suspicious Package,A pickpocket was seen stealing a wallet in a crowded market.,"24.700090610152657,46.66906238222603",Riyadh,2025-01-15 10:38:31
Fraudulent Activity,A pickpocket was seen stealing a wallet in a crowded market.,"33.30788533870728,44.36258041603428",Baghdad,2025-01-03 01:04:31
Burglary in Progress,A suspicious package was left unattended at a bus station.,"15.492347679080957,32.56600339905692",Khartoum,2025-01-14 13:26:31
Suspicious Package,Multiple people reported a phone scam in the area.,"36.79718829446096,10.189342459691792",Tunis,2025-01-02 10:15:31
Illegal Gathering,Graffiti and property damage reported near the city square.,"29.38647358019185,47.933298011543876",Kuwait City,2025-02-01 03:04:31
Kidnapping Attempt,An armed robbery took place at a jewelry store.,"2.0309893298378694,45.27431330560208",Mogadishu,2025-01-20 07:55:31
Cyber Crime,A suspicious package was left unattended at a bus station.,"26.20764463884779,50.538067388870004",Manama,2025-01-03 14:36:31
Illegal Gathering,A burglary is in progress at a residential apartment.,"36.69909125997322,3.076902105800402",Algiers,2025-01-29 18:22:31
Car Theft,A burglary is in progress at a residential apartment.,"23.5837096484142,58.38714640756826",Muscat,2025-01-28 11:09:31
Burglary in Progress,Gunshots were heard in a residential neighborhood.,"36.83191038071474,10.188412220737389",Tunis,2025-01-26 09:58:31
Kidnapping Attempt,Gunshots were heard in a residential neighborhood.,"31.972018141582424,35.96393476014046",Amman,2025-01-16 21:56:31
Pickpocketing Incident,Drug dealing reported in an alleyway downtown.,"32.920065576267994,13.210985875994227",Tripoli,2025-01-07 09:33:31
Illegal Gathering,Multiple people reported a phone scam in the area.,"33.860359703684644,35.45582166911808",Beirut,2025-01-20 20:34:31
Firearm Discharge,Multiple people reported a phone scam in the area.,"15.51886252482074,32.5106815199692",Khartoum,2025-01-17 17:45:31
Burglary in Progress,An armed robbery took place at a jewelry store.,"29.39898133633133,47.96229204960172",Kuwait City,2025-01-12 01:55:31
